,position,read_depth-YMR186W-SRR1520311-v2-p4-m1,norm_cov-YMR186W-SRR1520311-v2-p4-m1,read_depth-YMR186W-v3_simreads_FILTERED1-v2-p4-m1,norm_cov-YMR186W-v3_simreads_FILTERED1-v2-p4-m1
0,1,2,0.0025027488288305324,0,0.0
1,2,2,0.0025027488288305324,0,0.0
2,3,5,0.00625687207207633,0,0.0
3,4,8,0.01001099531532213,0,0.0
4,5,10,0.01251374414415266,0,0.0
5,6,10,0.01251374414415266,0,0.0
6,7,10,0.01251374414415266,0,0.0
7,8,12,0.015016492972983193,0,0.0
8,9,13,0.01626786738739846,0,0.0
9,10,15,0.018770616216228993,0,0.0
10,11,15,0.018770616216228993,0,0.0
11,12,15,0.018770616216228993,0,0.0
12,13,15,0.018770616216228993,0,0.0
13,14,16,0.02002199063064426,0,0.0
14,15,17,0.021273365045059524,0,0.0
15,16,17,0.021273365045059524,0,0.0
16,17,17,0.021273365045059524,0,0.0
17,18,17,0.021273365045059524,0,0.0
18,19,17,0.021273365045059524,0,0.0
19,20,17,0.021273365045059524,0,0.0
20,21,18,0.02252473945947479,0,0.0
21,22,18,0.02252473945947479,0,0.0
22,23,18,0.02252473945947479,0,0.0
23,24,19,0.023776113873890056,0,0.0
24,25,20,0.02502748828830532,0,0.0
25,26,20,0.02502748828830532,0,0.0
26,27,22,0.027530237117135856,0,0.0
27,28,23,0.02878161153155112,0,0.0
28,29,25,0.03128436036038165,0,0.0
29,30,23,0.02878161153155112,0,0.0
30,31,23,0.02878161153155112,0,0.0
31,32,20,0.02502748828830532,0,0.0
32,33,20,0.02502748828830532,0,0.0
33,34,18,0.02252473945947479,0,0.0
34,35,18,0.02252473945947479,0,0.0
35,36,18,0.02252473945947479,0,0.0
36,37,16,0.02002199063064426,0,0.0
37,38,15,0.018770616216228993,0,0.0
38,39,13,0.01626786738739846,0,0.0
39,40,13,0.01626786738739846,0,0.0
40,41,13,0.01626786738739846,0,0.0
41,42,14,0.017519241801813724,0,0.0
42,43,13,0.01626786738739846,0,0.0
43,44,12,0.015016492972983193,0,0.0
44,45,12,0.015016492972983193,0,0.0
45,46,16,0.02002199063064426,0,0.0
46,47,16,0.02002199063064426,0,0.0
47,48,16,0.02002199063064426,0,0.0
48,49,16,0.02002199063064426,0,0.0
49,50,15,0.018770616216228993,0,0.0
50,51,15,0.018770616216228993,0,0.0
51,52,17,0.021273365045059524,0,0.0
52,53,16,0.02002199063064426,0,0.0
53,54,19,0.023776113873890056,0,0.0
54,55,19,0.023776113873890056,0,0.0
55,56,17,0.021273365045059524,0,0.0
56,57,17,0.021273365045059524,0,0.0
57,58,15,0.018770616216228993,0,0.0
58,59,15,0.018770616216228993,0,0.0
59,60,15,0.018770616216228993,0,0.0
60,61,14,0.017519241801813724,0,0.0
61,62,15,0.018770616216228993,0,0.0
62,63,17,0.021273365045059524,0,0.0
63,64,17,0.021273365045059524,0,0.0
64,65,18,0.02252473945947479,0,0.0
65,66,18,0.02252473945947479,0,0.0
66,67,18,0.02252473945947479,0,0.0
67,68,18,0.02252473945947479,0,0.0
68,69,18,0.02252473945947479,0,0.0
69,70,18,0.02252473945947479,0,0.0
70,71,17,0.021273365045059524,0,0.0
71,72,17,0.021273365045059524,0,0.0
72,73,17,0.021273365045059524,0,0.0
73,74,14,0.017519241801813724,0,0.0
74,75,13,0.01626786738739846,0,0.0
75,76,13,0.01626786738739846,0,0.0
76,77,26,0.03253573477479692,0,0.0
77,78,41,0.05130635099102591,0,0.0
78,79,42,0.05255772540544118,0,0.0
79,80,42,0.05255772540544118,0,0.0
80,81,40,0.05005497657661064,0,0.0
81,82,40,0.05005497657661064,0,0.0
82,83,39,0.04880360216219538,0,0.0
83,84,63,0.07883658810816177,0,0.0
84,85,145,0.1814492900902136,0,0.0
85,86,150,0.1877061621622899,0,0.0
86,87,151,0.1889575365767052,0,0.0
87,88,154,0.19271165981995098,1,0.08286384976525821
88,89,192,0.2402638875677311,2,0.16572769953051641
89,90,280,0.3503848360362745,3,0.24859154929577465
90,91,322,0.4029425614417157,4,0.33145539906103283
91,92,359,0.44924341477508056,5,0.41431924882629106
92,93,392,0.4905387704507843,6,0.4971830985915493
93,94,467,0.5843918515319293,7,0.5800469483568075
94,95,472,0.5906487236040056,8,0.6629107981220657
95,96,536,0.6707366861265827,9,0.745774647887324
96,97,538,0.6732394349554132,10,0.8286384976525821
97,98,543,0.6794963070274895,11,0.9115023474178403
98,99,574,0.7182889138743628,12,0.9943661971830986
99,100,643,0.8046337484690161,13,1.077230046948357
100,101,709,0.8872244598204236,14,1.160093896713615
101,102,710,0.888475834234839,15,1.2429577464788732
102,103,767,0.9598041758565091,16,1.3258215962441313
103,104,771,0.9648096735141701,17,1.4086854460093896
104,105,798,0.9985967827033824,18,1.491549295774648
